location;barcode;amount;sku;urun adi
A-002;78778135920;10;W53UA2E5MPQY38W8Y;W53UA2E5MPQ AYAKKABI
A-002;25751056281;3;S3KXJSEDT9P3NZ5SF;S3KXJSEDT9P SANDALET
A-002;44634808465;9;E9AKCP4EDX7DXPLMF;E9AKCP4EDX7 CORAP
A-002;95981799201;8;8A1EPB4X9KMFEN8I6;8A1EPB4X9KM SORT
A-002;99258643933;2;R2ZQRCWRHCHH7TA7O;R2ZQRCWRHCH YELEK
A-005;66522374708;2;OQ5D8QRU04P4G6VU4;OQ5D8QRU04P PATIK
A-005;68604322995;3;MBT206KKX7E8R0DD8;MBT206KKX7E PATIK
A-005;86457669877;10;Z515S9FIR352EMK2R;Z515S9FIR35 PANTOLON
A-005;22822092850;2;2GT5N4UHCZVRT36BS;2GT5N4UHCZV TOKA
A-005;89446589850;8;N9D34B9EBD0ZS4CQ9;N9D34B9EBD0 SISME MONT
A-005;23587051543;1;JIF1RT46MF5P2EAT0;JIF1RT46MF5 SANDALET
A-005;75862695198;4;29ML4TNIJVQTED6LI;29ML4TNIJVQ SISME MONT
A-005;47591205780;6;2WF4DHOE80FQVNFFK;2WF4DHOE80F T-SHIRT
A-012;24071057671;2;DZMG08ISKQ0ZL3VU0;DZMG08ISKQ0 TOKA
A-012;23921305232;5;8ORKOSA5HO29V1PT9;8ORKOSA5HO2 CORAP
A-012;69727737245;1;HCJ60L1ZJIG54U0KX;HCJ60L1ZJIG YELEK
A-012;61905167697;5;P372Z5XUZ5DC1OXL3;P372Z5XUZ5D BERE
A-012;68572493293;3;ZU7SE3VT8SNCOSDKU;ZU7SE3VT8SN CEKET
A-012;75243734766;1;6SYY2NJ7KUX8KHRU2;6SYY2NJ7KUX TOKA
A-012;96409835232;10;2T2PJUOIIHG7XN9T4;2T2PJUOIIHG YELEK
A-012;93081453007;9;Q0RUWU1IW30W2RMTW;Q0RUWU1IW30 SORT
A-012;59146861686;3;YT4OQ0X2W2SFC4WRN;YT4OQ0X2W2S SISME MONT
A-014;59020944808;3;BGVDBJPJ6UITV68VN;BGVDBJPJ6UI CEKET
A-014;86741031933;6;2QSDY3U0VIZ4G27QL;2QSDY3U0VIZ PATIK
A-014;12193189607;2;ASAUPS4JC4JSK2OIY;ASAUPS4JC4J AYAKKABI
A-014;78038899067;9;H2UOSPPT2J9JLXDOO;H2UOSPPT2J9 CANTA
A-014;33376378446;6;ZTAD530GTLWYCZYVG;ZTAD530GTLW AYAKKABI
A-014;55457675636;10;3W9EEBVCR8E5L81OL;3W9EEBVCR8E HIRKA
A-014;14692367451;7;YSD2Z70OD15KTLVUO;YSD2Z70OD15 TOKA
A-014;89775443699;9;ZB421CTJZS8D2N9L5;ZB421CTJZS8 BERE
A-014;22752535977;8;8S9A8LOF1FG83RI03;8S9A8LOF1FG BERE
A-014;44361793082;10;O877CTH3244R82VZO;O877CTH3244 TOKA
A-014;56119611928;6;87HJ3Q1I9T8WTGKFV;87HJ3Q1I9T8 SORT
A-014;82462593519;1;R8EBOVG5HHIC2IRTT;R8EBOVG5HHI CANTA
A-014;22822092850;9;2GT5N4UHCZVRT36BS;2GT5N4UHCZV TOKA
A-014;64195365029;7;U5SD535JW0WRKSNTW;U5SD535JW0W CANTA
A-015;88973370899;9;0JLQ87JICXHMJHBJ0;0JLQ87JICXH AYAKKABI
A-015;13102832400;4;WKET2E01KQLHNN1F8;WKET2E01KQL SORT
A-015;75866262911;5;E40UZV8JL0X4UVYM6;E40UZV8JL0X AYAKKABI
A-015;45032127460;8;Y5VKBN4OI9XUDGAZO;Y5VKBN4OI9X SISME MONT
A-018;19336462769;6;I7O9QQAGK1SYJKFFT;I7O9QQAGK1S T-SHIRT
A-018;77155458471;10;BW94LF19RRAPUXEB0;BW94LF19RRA CANTA
A-018;45289729490;6;0XQB2BCT93FFDL29R;0XQB2BCT93F SANDALET
A-018;15241653619;3;P63RB8BGWR1C4E7R0;P63RB8BGWR1 SANDALET
A-018;36502765794;6;51SJJIAP4R4AUT7I0;51SJJIAP4R4 CORAP
A-018;14471216019;6;XWAG5V9XG5OYJXAIW;XWAG5V9XG5O ELBISE
A-018;85666190899;7;2X9UH9YEVCD66GLVL;2X9UH9YEVCD T-SHIRT
A-018;86741031933;4;2QSDY3U0VIZ4G27QL;2QSDY3U0VIZ PATIK
A-018;27426618776;3;UTFL0ADB5OR5IC0VG;UTFL0ADB5OR TOKA
A-018;22158804501;4;2KD66T1NGO23XSVT1;2KD66T1NGO2 PANTOLON
A-024;41241842210;2;PASJGBU5CMIIG4FZW;PASJGBU5CMI SISME MONT
A-024;31794292708;9;JGVHETKPCAOV5TZ27;JGVHETKPCAO CANTA
A-025;98113884479;4;01X2T0MAE1CU4OY83;01X2T0MAE1C TOKA
A-025;40470760241;10;LIRREFXI4598E3843;LIRREFXI459 CEKET
A-025;15460299594;6;MQA0VM9PV2ADUVFOG;MQA0VM9PV2A ELBISE
A-025;73546788167;2;FBE9PHC4QW0V3WO5J;FBE9PHC4QW0 YELEK
A-028;12310494172;9;172KQ6G003W56V6XV;172KQ6G003W ELBISE
A-028;26286798224;5;1Z1WZL4L1GPUPUWRZ;1Z1WZL4L1GP YELEK
A-028;50165901843;9;QUUBDJDMQZBJ56Y3J;QUUBDJDMQZB PANTOLON
A-028;83442717516;4;BK3PE7G9UXE7NQY1K;BK3PE7G9UXE BERE
A-028;62415289978;4;IOGFMIK2ZTBULR2TJ;IOGFMIK2ZTB CORAP
A-032;11066239219;10;7HW6XAAN29QCD1KAC;7HW6XAAN29Q CORAP
A-032;42690229710;7;T0M84E4GDO7U6087J;T0M84E4GDO7 YELEK
A-032;88748584952;7;EUMBLIC54O1P738H5;EUMBLIC54O1 CEKET
A-032;24629406037;5;5SSPWG3R10001O0V3;5SSPWG3R100 TOKA
A-032;84240455718;7;245IEWM5KS28PFVAH;245IEWM5KS2 CORAP
A-032;89165174817;1;ISWJRWDGHWLHFL9HT;ISWJRWDGHWL CORAP
A-033;73496692478;7;8E9A793JVW85YPNFB;8E9A793JVW8 PATIK
A-033;39419366215;9;K0R6W42RT9HKAFJFT;K0R6W42RT9H CANTA
A-033;52279537142;7;KY94F1TEXZJPTDI6C;KY94F1TEXZJ BERE
A-033;63828843150;8;2PJY0FWHU0LEWIZTZ;2PJY0FWHU0L SANDALET
A-033;81894613652;1;SBFHUHCSHTRXWVGC9;SBFHUHCSHTR ELBISE
A-033;70490058280;7;39MMKZ528F51EL3AH;39MMKZ528F5 SORT
A-033;54700453014;8;5VGRNP3OZK18JHEUV;5VGRNP3OZK1 T-SHIRT
A-033;41303213305;10;6CXIHDQP2QZADEEC4;6CXIHDQP2QZ CANTA
A-034;64060203292;2;DATXC1XSC5OIRVPHK;DATXC1XSC5O ATKI
A-034;96483720138;3;7DXVA7VYOYMNA4OAX;7DXVA7VYOYM HIRKA
A-034;38531374786;1;YQ7HB8EH8VWZL4ACZ;YQ7HB8EH8VW SISME MONT
A-034;77390032609;4;DFU7ZMAUAV01UKH8D;DFU7ZMAUAV0 AYAKKABI
A-034;84194022111;4;JPYWQZOBSWFY8G1XU;JPYWQZOBSWF CORAP
A-034;96296740671;5;J18ZIOIOV6S9F8LOG;J18ZIOIOV6S CANTA
A-034;88973370899;6;0JLQ87JICXHMJHBJ0;0JLQ87JICXH AYAKKABI
A-034;46011649573;6;6GY0NN3Y6GWMD6LCH;6GY0NN3Y6GW ATKI
A-036;53985856564;8;LKX898AHYQ6ONF12D;LKX898AHYQ6 ELBISE
A-036;98285269062;6;SML91618P8XCE9N44;SML91618P8X AYAKKABI
A-036;28022758641;6;T66T6KAQOMTM9OIRY;T66T6KAQOMT BERE
A-036;90143755049;1;EY3NMI2ADNWCG5SEN;EY3NMI2ADNW YELEK
A-036;57868430749;2;8BQWF055SV1Y9B2JT;8BQWF055SV1 PATIK
A-036;50616145868;7;V3LRGFDEW42H1CI9I;V3LRGFDEW42 SISME MONT
A-036;38435499777;9;MTSP548BOYG3POS9R;MTSP548BOYG PATIK
A-044;12100577380;7;UIAVR4W9250WBXHQE;UIAVR4W9250 CORAP
A-044;66920008411;4;ANM39DQBLZH5HCIKT;ANM39DQBLZH ATKI
A-044;56165128960;3;9P5R7V2TGQTF0QLK4;9P5R7V2TGQT CEKET
A-044;45374811119;10;1NQW02C0BSIKBSUEX;1NQW02C0BSI T-SHIRT
A-044;55281180809;1;Q8NASN2OH2GSHTPZH;Q8NASN2OH2G ELBISE
A-044;55869616602;1;QHRSLTD5I9JQAQFUU;QHRSLTD5I9J SANDALET
A-044;76655414934;5;GG0N4W5UQAZBLUS87;GG0N4W5UQAZ PATIK
A-044;17996610664;2;VTD1HUX5083N6I91O;VTD1HUX5083 PANTOLON
A-044;51588480066;1;0LYCZ1L0E7T4R1MZK;0LYCZ1L0E7T CORAP
A-044;65220396742;7;ZJYBMLUUG2EZFU7OR;ZJYBMLUUG2E SISME MONT
A-044;79702034690;7;BT3Q3KN4EHCJ9EEJB;BT3Q3KN4EHC YELEK
