barcode;amount
48195867349;3
31685751833;5
78778135920;10
97401573093;7
44052912346;6
90510227427;3
58892193474;1
10591847069;7
89012159942;8
63819360901;10
86155092853;5
64718572908;9
91478316416;3
55624870755;10
31928707586;6
25751056281;3
12429871019;6
44634808465;9
92313908410;8
16782960800;10
87546923093;4
95981799201;8
42075749327;7
68378792986;6
66439973565;4
84564017552;4
99258643933;2
39651008714;6
57442350118;3
89446504640;1
12373221928;5
99037978779;3
60038075490;2
77878789764;5
59432225230;9
93421294987;4
93970728278;10
42514106774;10
44297229120;9
64170756061;10
21180266210;2
22266509503;8
80714109262;7
55150032702;3
57015295086;3
49904213833;8
21986469301;7
43713409339;10
44848942163;2
17675942863;8
79245647938;9
42075749327;10
66522374708;2
49256462203;1
63985939736;8
86015722108;10
99035181014;7
29491189313;1
68604322995;3
48168922869;4
79205756095;2
62834287888;3
72174123016;2
94518200175;5
55054465503;7
26422308770;6
80787169148;2
26249925105;4
19806218304;3
63525234454;3
64572038382;10
70366784809;1
75568516076;8
86457669877;10
67474055529;8
60331200533;8
67347561409;7
86439881062;9
85986865665;4
93680433213;3
65690412488;10
29491189313;3
14033308034;3
71193673814;4
22822092850;2
29092181368;6
79542935371;1
81034332302;4
52219822998;5
55700891340;1
88776201237;4
11595422999;8
91433001332;6
94750386764;3
89446589850;8
81279145481;4
19090376459;7
71131395632;9
70433278304;5
62967005013;8
59636030891;8
11056915800;3
57846399354;10
92069272405;7
45163075642;6
71320882808;2
31523689940;1
39569827068;9
55549049886;3
36487300281;7
66385382456;2
91420578236;3
68894332385;7
56822188537;9
93561569913;6
23587051543;1
54578295291;9
94604333572;8
47465179230;7
88164837998;6
75862695198;4
79205756095;1
66545921160;5
78667719445;4
34366911555;6
44471149041;6
47591205780;6
42414069078;9
41624334675;9
12241698190;9
61858306408;9
41695336166;5
66364527925;4
85819386954;9
76525421950;4
34496362560;4
29301776884;3
25360778550;1
36314732158;7
54469694143;8
82187642713;10
95054068645;9
97827943964;10
25713464655;9
24071057671;2
35267564916;2
83999906281;6
23609657808;5
74216192742;4
68388963757;3
95007155832;1
30293507239;2
42881676401;10
14327109886;2
84046408607;9
65766881594;10
23921305232;5
25926186729;7
43517876517;3
33470792748;5
42430399636;3
14892873434;2
66593581423;7
69727737245;1
73591252732;1
20541059595;10
28414340659;2
92494577724;8
61905167697;5
38819034559;10
95911709038;1
68572493293;3
24154850894;7
57106484903;9
96075031427;5
40563085708;7
37816384138;9
16745654801;5
14536438848;9
71855582795;6
62974550972;3
75243734766;1
61509946819;1
76468807075;3
96409835232;10
68303302736;10
50835873304;4
41612004899;1
28952727659;5
98478047504;2
72674184209;7
75550157252;10
65225606246;9
39591874492;4
67157084572;2
57846399354;8
63839799552;4
91601336496;8
74715714253;5
82615737856;6
80295899323;2
11314477547;4
85690678454;8
93081453007;9
39783150523;5
30459475915;3
23649157038;9
20812731555;3
88947272263;2
93206688551;4
89968249947;10
78988775199;2
59146861686;3
45293793091;10
29948017865;2
59240390121;9
74456399122;2
83174121124;6
14153379267;1
17030466567;3
64848830792;6
68572746704;9
69469425228;2
78618764965;8
28110313327;10
51078354965;10
19683027589;2
41233341074;9
80757832943;4
48361005936;9
27738107131;8
65070756696;2
59020944808;3
16362615737;6
75098657759;10
62333390421;3
86741031933;6
49292234645;7
41767761095;5
23032790051;7
29968857988;8
12193189607;2
21515857551;4
60056240211;5
98358414673;8
90530328146;4
16649369492;9
71971444871;2
71447330342;9
13567942298;5
13506935826;9
74605522683;10
94196881473;4
20709274701;8
67871027179;10
22495809106;10
43635290508;9
74682673318;10
82431552812;1
38886242284;6
41392173486;5
90757782167;9
78038899067;9
87717608991;4
89884370430;4
33376378446;6
21544730236;3
76722869726;1
65557643812;7
25351947671;6
79492959382;4
79357966578;2
96574588830;5
54240901669;6
34308039275;1
61725523812;5
92435563281;10
45013305050;3
27212227292;3
78908848542;8
64587712668;3
93629376148;9
93868087173;1
71352078145;10
49657807958;5
55457675636;10
14692367451;7
21872339837;10
27243226475;6
97564875374;9
89775443699;9
70415828378;2
22752535977;8
95920146701;3
97187492641;5
44361793082;10
76406140629;8
13616793291;10
41431124319;7
44770448343;2
56119611928;6
50000398936;3
48543740989;9
76578201816;10
71146254202;10
40367785014;10
87945380656;8
74317820456;2
27746283764;4
26030610508;8
82462593519;1
59659117884;1
85212488407;2
38065747044;2
22822092850;9
42686934527;2
64195365029;7
85690678454;4
53433685991;2
26729173403;7
52477650054;3
91157944737;7
44537155162;6
74351159483;9
95834220547;2
64218808820;6
50792376079;1
93281943856;8
22714265060;1
73967008589;8
44872672762;7
65778143742;9
12408754490;9
19142479292;8
96599500275;10
93379933341;10
37168653211;4
75386864548;1
22962092284;8
40453512411;1
79399855290;6
36891952338;3
79732969788;9
36716687261;7
21363487675;2
11176671679;8
12864087777;4
67401673380;3
55684135847;1
90661585586;3
13845715462;7
74761153735;8
37333007677;3
97800570408;5
20027788119;10
22639547374;3
88973370899;9
11853189233;4
12661391903;10
52110669143;4
42160587776;1
13370206181;4
15410179346;3
68486748335;8
10716513231;7
13102832400;4
41777482173;8
58147453254;5
62974550972;4
99119362904;10
61068115347;6
94232837443;4
88344845253;9
97430765105;8
48911471891;9
66049841263;8
76277939598;7
91527252394;3
20630659032;2
20643716154;4
75866262911;5
99795423952;10
66979560147;6
20879419040;7
30448207915;2
88145406696;2
48772829459;7
78022214723;3
13579750909;4
42079456512;9
84133957229;3
33225728881;7
59480672128;2
69449642724;3
74412492692;6
83411466670;4
91054929202;8
19974541004;9
22294311497;3
45032127460;8
14584657364;7
42330947568;4
32815928430;6
52477367830;9
40269811674;6
31947203734;2
55742603033;9
81434253625;8
29683031903;8
28378000646;1
96377836945;3
19662027208;4
26713774326;10
19336462769;6
27308926428;2
77155458471;10
29082219128;4
44991754816;9
45289729490;6
51670781867;5
88947272263;1
47480327055;7
49501773051;6
61847452652;9
15241653619;3
69745275059;10
86076815118;6
36502765794;6
30687532436;4
65276624549;5
81279145481;10
82860725011;7
59691796810;3
22711288220;2
14471216019;6
98047110808;3
59691796810;5
52865557783;7
19433801759;6
77024443980;6
49735406963;4
78788786633;7
33814102057;8
27043639557;7
25731302933;8
54980524983;8
16058313261;2
69931786873;7
80159773961;5
85193719991;1
32333260547;9
63488585566;5
85463688939;6
98906334636;4
29324944056;4
90794857380;9
57336348773;4
61090102118;10
37276768541;2
21900036237;3
59337202775;1
61900986491;3
30572444449;2
52245857971;5
20493332458;10
19173894824;2
66917169242;4
44848942163;1
68662192879;2
86548131070;10
51822798006;7
76973754155;5
52179494667;7
90558401085;6
47061967639;6
55515475641;4
19678120322;4
34794694762;3
77486820204;5
85666190899;7
50940322870;10
91157944737;7
17880804650;8
41867303317;7
71434744227;8
18426968150;8
18923849768;4
56893605527;2
68303102319;7
59134854360;5
84489301652;6
14097862103;5
34108187121;2
69743210346;3
22069382537;10
86741031933;4
80569138598;8
44829064448;2
30260331211;8
27426618776;3
22158804501;4
48562023829;5
68501951509;7
47465179230;6
99507323023;1
94891187327;5
40831041656;7
81757843023;5
63003424546;2
27310737693;1
86820555830;8
66911818766;5
86937819903;6
53114690443;1
63557045493;5
14773511641;4
30086171120;4
26357464849;10
51366086414;4
79295260650;10
73857734751;8
89682950412;4
29279475778;6
18592327453;7
30851306057;2
84994668235;2
83784346375;10
33100358034;5
16524766071;3
45859484489;1
77772533527;8
59735307554;6
26357464849;2
40113680616;5
82431552812;6
15947222086;6
89370668960;6
16380975381;1
50439559108;4
60125577178;3
54648466303;7
41241842210;2
93417090404;10
24025192621;8
95911709038;4
52514531132;3
51209271426;9
49210881653;7
76633306091;2
66545921160;2
68960944045;2
31794292708;9
40269811674;10
38114229805;5
70528789697;3
61760839612;9
65734969352;10
60301185467;8
22495809106;3
28174244985;2
97168853730;8
32679484767;7
99606133093;6
64316876652;7
42800706279;6
66338035006;5
75221578552;5
81493746891;2
18216935453;8
44342756043;7
62672049253;6
55242641638;7
28852531051;4
11280687530;8
68862442375;4
31863316994;10
59482781769;6
75526562396;6
90016586510;5
70578638931;4
23267213154;10
67701113209;1
73071577649;9
74682673318;5
41545722666;8
58825872377;4
39830054513;8
52911083882;3
62513541503;7
94880531051;9
80757847115;4
44562381122;10
41118901701;3
78558303063;5
22414837842;9
85517221065;7
74493784005;3
30771592130;3
24417150103;9
91449769785;2
85122486528;10
18772843788;10
98288584184;7
55762741929;2
33031423444;10
74171542042;9
88704396558;2
67157084572;8
22857778026;1
76012290577;10
18889381932;2
18216935453;1
10373318993;9
31951881050;4
10538551114;3
98113884479;4
71352078145;4
57796856755;7
62263345625;7
14149524145;4
64446135410;3
71171131988;10
87523953461;1
40470760241;10
94964243740;2
35898941231;5
62834287888;7
56698418502;5
72941344335;3
48664587126;8
63033339392;10
27096024794;8
42464150903;9
56618890934;1
15460299594;6
20630659032;10
57376676656;10
24092603851;10
10580486968;7
96083655333;3
73546788167;2
58147453254;6
33155334239;5
97800570408;1
89714518831;5
47480327055;10
20725607745;1
66263221523;8
74823316273;5
12310494172;9
65766881594;6
22633100530;9
65597599514;4
