location;barcode;amount
A-002;48195867349;3
A-002;31685751833;5
A-002;78778135920;10
A-002;97401573093;7
A-002;44052912346;6
A-002;90510227427;3
A-002;58892193474;1
A-002;10591847069;7
A-002;89012159942;8
A-002;63819360901;10
A-002;86155092853;5
A-002;64718572908;9
A-002;91478316416;3
A-002;55624870755;10
A-002;31928707586;6
A-002;25751056281;3
A-002;12429871019;6
A-002;44634808465;9
A-002;92313908410;8
A-002;16782960800;10
A-002;87546923093;4
A-002;95981799201;8
A-002;42075749327;7
A-002;68378792986;6
A-002;66439973565;4
A-002;84564017552;4
A-002;99258643933;2
A-002;39651008714;6
A-002;57442350118;3
A-002;89446504640;1
A-002;12373221928;5
A-002;99037978779;3
A-002;60038075490;2
A-002;77878789764;5
A-002;59432225230;9
A-002;93421294987;4
A-002;93970728278;10
A-002;42514106774;10
A-002;44297229120;9
A-002;64170756061;10
A-002;21180266210;2
A-002;22266509503;8
A-002;80714109262;7
A-002;55150032702;3
A-002;57015295086;3
A-002;49904213833;8
A-002;21986469301;7
A-002;43713409339;10
A-002;44848942163;2
A-002;17675942863;8
